2000	1	73
2000	2	12
2000	3	7
2000	4	10
2000	5	9
2000	6	2
2000	7	5
2000	8	5
2000	9	4
2000	10	9
2000	11	23
2000	12	23
2001	1	50
2001	2	62
2001	3	32
2001	4	12
2001	5	5
2001	6	9
2001	7	4
2001	8	5
2001	9	14
2001	10	38
2001	11	43
2001	12	33
2002	1	114
2002	2	50
2002	3	31
2002	4	16
2002	5	19
2002	6	8
2002	7	16
2002	8	16
2002	9	16
2002	10	36
2002	11	23
2002	12	44
2003	1	47
2003	2	32
2003	3	29
2003	4	29
2003	5	12
2003	6	12
2003	7	9
2003	8	8
2003	9	18
2003	10	82
2003	11	205
2003	12	102
2004	1	49
2004	2	27
2004	3	32
2004	4	21
2004	5	14
2004	6	22
2004	7	30
2004	8	5
2004	9	40
2004	10	54
2004	11	57
2004	12	74
2005	1	115
2005	2	80
2005	3	87
2005	4	41
2005	5	36
2005	6	14
2005	7	11
2005	8	13
2005	9	23
2005	10	46
2005	11	52
2005	12	78
2006	1	85
2006	2	61
2006	3	68
2006	4	41
2006	5	19
2006	6	10
2006	7	8
2006	8	21
2006	9	34
2006	10	49
2006	11	47
2006	12	51
2007	1	94
2007	2	149
2007	3	81
2007	4	32
2007	5	35
2007	6	12
2007	7	26
2007	8	19
2007	9	22
2007	10	70
2007	11	80
2007	12	116
2008	1	124
2008	2	62
2008	3	88
2008	4	67
2008	5	21
2008	6	29
2008	7	23
2008	8	13
2008	9	38
2008	10	63
2008	11	105
2008	12	230
2009	1	118
2009	2	70
2009	3	43
2009	4	44
2009	5	53
2009	6	38
2009	7	581
2009	8	93
2009	9	93
2009	10	258
2009	11	141
2009	12	96
2010	1	43
2010	2	38
2010	3	41
2010	4	28
2010	5	25
2010	6	17
2010	7	24
2010	8	23
2010	9	48
2010	10	73
2010	11	96
2010	12	485
2011	1	326
2011	2	59
2011	3	49
2011	4	22
2011	5	24
2011	6	19
2011	7	23
2011	8	30
2011	9	38
2011	10	60
2011	11	79
2011	12	64
2012	1	62
2012	2	80
2012	3	51
2012	4	40
2012	5	23
2012	6	21
2012	7	22
2012	8	25
2012	9	25
2012	10	72
2012	11	76
2012	12	121
2013	1	180
2013	2	91
2013	3	85
2013	4	58
2013	5	27
2013	6	18
2013	7	18
2013	8	7
2013	9	37
2013	10	61
2013	11	41
2013	12	50
2014	1	71
2014	2	60
2014	3	57
2014	4	21
2014	5	19
2014	6	20
2014	7	9
2014	8	12
2014	9	26
2014	10	60
2014	11	56
2014	12	174
2015	1	127
2015	2	69
2015	3	88
2015	4	61
2015	5	26
2015	6	34
2015	7	19
2015	8	5
2015	9	41
2015	10	54
2015	11	52
2015	12	92
2016	1	121
2016	2	115
2016	3	159
2016	4	96
2016	5	36
2016	6	23
2016	7	24
2016	8	14
2016	9	31
2016	10	76
2016	11	55
2016	12	107
2017	1	147
2017	2	72
2017	3	46
2017	4	22
2017	5	20
2017	6	17
2017	7	18
2017	8	20
2017	9	26
2017	10	51
2017	11	77
2017	12	140
2018	1	490
2018	2	265
2018	3	147
2018	4	37
2018	5	17
2018	6	13
2018	7	13
2018	8	17
2018	9	30
2018	10	51
2018	11	47
2018	12	62
2019	1	167
2019	2	119
2019	3	67
2019	4	32
2019	5	25
2019	6	29
2019	7	24
2019	8	12
2019	9	30
2019	10	64
2019	11	128
2019	12	240
2020	1	145
2020	2	67
2020	3	97
2020	4	53
2020	5	13
