2014	10	60
2014	11	56
2014	12	174
2014	1	127
2014	2	69
2014	3	88
2015	10	54
2015	11	52
2015	12	92
2015	1	121
2015	2	115
2015	3	159
2016	10	76
2016	11	55
2016	12	107
2016	1	147
2016	2	72
2016	3	46
2017	10	51
2017	11	77
2017	12	140
2017	1	490
2017	2	265
2017	3	147
2018	10	51
2018	11	47
2018	12	62
2018	1	167
2018	2	119
2018	3	67
2019	10	64
2019	11	128
2019	12	240
2019	1	145
2019	2	67
2019	3	97
