Week start (Monday)	Week end (Sunday)	Working days	Reason
2017-02-13	2017-02-19	5	
2017-02-06	2017-02-12	5	
2017-01-30	2017-02-05	5	
2017-01-23	2017-01-29	5	
2017-01-16	2017-01-22	5	
2017-01-09	2017-01-15	5	
2017-01-02	2017-01-08	4	New Year's Day (substitute)
2016-12-26	2017-01-01	3	Christmas (substitute) and Boxing Day
2016-12-19	2016-12-25	5	
2016-12-12	2016-12-18	5	
2016-12-05	2016-12-11	5	
2016-11-28	2016-12-04	5	
2016-11-21	2016-11-27	5	
2016-11-14	2016-11-20	5	
2016-11-07	2016-11-13	5	
2016-10-31	2016-11-06	5	
2016-10-24	2016-10-30	5	
2016-10-17	2016-10-23	5	
2016-10-10	2016-10-16	5	
2016-10-03	2016-10-09	5	
2016-09-26	2016-10-02	5	
2016-09-19	2016-09-25	5	
2016-09-12	2016-09-18	5	
2016-09-05	2016-09-11	5	
2016-08-29	2016-09-04	4	Summer Bank Holiday
2016-08-22	2016-08-28	5	
2016-08-15	2016-08-21	5	
2016-08-08	2016-08-14	5	
2016-08-01	2016-08-07	5	
2016-07-25	2016-07-31	5	
2016-07-18	2016-07-24	5	
2016-07-11	2016-07-17	5	
2016-07-04	2016-07-10	5	
2016-06-27	2016-07-03	5	
2016-06-20	2016-06-26	5	
2016-06-13	2016-06-19	5	
2016-06-06	2016-06-12	5	
2016-05-30	2016-06-05	4	Spring bank holiday
2016-05-23	2016-05-29	5	
2016-05-16	2016-05-22	5	
2016-05-09	2016-05-15	5	
2016-05-02	2016-05-08	4	Early May bank holiday
2016-04-25	2016-05-01	5	
2016-04-18	2016-04-24	5	
2016-04-11	2016-04-17	5	
2016-04-04	2016-04-10	5	
2016-03-28	2016-04-03	4	Easter Monday
2016-03-21	2016-03-27	4	Good Friday
2016-03-14	2016-03-20	5	
2016-03-07	2016-03-13	5	
2016-02-29	2016-03-06	5	
2016-02-22	2016-02-28	5	
2016-02-15	2016-02-21	5	
2016-02-08	2016-02-14	5	
2016-02-01	2016-02-07	5	
2016-01-25	2016-01-31	5	
2016-01-18	2016-01-24	5	
2016-01-11	2016-01-17	5	
2016-01-04	2016-01-10	5	
2015-12-28	2016-01-03	3	Boxing day (substitute) and New Year's day
2015-12-21	2015-12-27	4	Christmas day
2015-12-14	2015-12-20	5	
2015-12-07	2015-12-13	5	
2015-11-30	2015-12-06	5	
2015-11-23	2015-11-29	5	
2015-11-16	2015-11-22	5	
2015-11-09	2015-11-15	5	
2015-11-02	2015-11-08	5	
2015-10-26	2015-11-01	5	
2015-10-19	2015-10-25	5	
2015-10-12	2015-10-18	5	
2015-10-05	2015-10-11	5	
2015-09-28	2015-10-04	5	
2015-09-21	2015-09-27	5	
2015-09-14	2015-09-20	5	
2015-09-07	2015-09-13	5	
2015-08-31	2015-09-06	4	Summer Bank Holiday
2015-08-24	2015-08-30	5	
2015-08-17	2015-08-23	5	
2015-08-10	2015-08-16	5	
2015-08-03	2015-08-09	5	
2015-07-27	2015-08-02	5	
2015-07-20	2015-07-26	5	
2015-07-13	2015-07-19	5	
2015-07-06	2015-07-12	5	
2015-06-29	2015-07-05	5	
2015-06-22	2015-06-28	5	
2015-06-15	2015-06-21	5	
2015-06-08	2015-06-14	5	
2015-06-01	2015-06-07	5	
2015-05-25	2015-05-31	4	Spring bank holiday
2015-05-18	2015-05-24	5	
2015-05-11	2015-05-17	5	
2015-05-04	2015-05-10	4	Early May bank holiday
2015-04-27	2015-05-03	5	
2015-04-20	2015-04-26	5	
2015-04-13	2015-04-19	5	
2015-04-06	2015-04-12	4	Easter Monday
2015-03-30	2015-04-05	4	Good Friday
2015-03-23	2015-03-29	5	
2015-03-16	2015-03-22	5	
2015-03-09	2015-03-15	5	
2015-03-02	2015-03-08	5	
2015-02-23	2015-03-01	5	
2015-02-16	2015-02-22	5	
2015-02-09	2015-02-15	5	
2015-02-02	2015-02-08	5	
2015-01-26	2015-02-01	5	
2015-01-19	2015-01-25	5	
2015-01-12	2015-01-18	5	
2015-01-05	2015-01-11	5	
2014-12-29	2015-01-04	4	New Year's Day
2014-12-22	2014-12-28	3	Christmas and Boxing Day
2014-12-15	2014-12-21	5	
2014-12-08	2014-12-14	5	
2014-12-01	2014-12-07	5	
2014-11-24	2014-11-30	5	
2014-11-17	2014-11-23	5	
2014-11-10	2014-11-16	5	
2014-11-03	2014-11-09	5	
2014-10-27	2014-11-02	5	
2014-10-20	2014-10-26	5	
2014-10-13	2014-10-19	5	
2014-10-06	2014-10-12	5	
2014-09-29	2014-10-05	5	
2014-09-22	2014-09-28	5	
2014-09-15	2014-09-21	5	
2014-09-08	2014-09-14	5	
2014-09-01	2014-09-07	5	
2014-08-25	2014-08-31	4	Summer Bank Holiday
2014-08-18	2014-08-24	5	
2014-08-11	2014-08-17	5	
2014-08-04	2014-08-10	5	
2014-07-28	2014-08-03	5	
2014-07-21	2014-07-27	5	
2014-07-14	2014-07-20	5	
2014-07-07	2014-07-13	5	
2014-06-30	2014-07-06	5	
2014-06-23	2014-06-29	5	
2014-06-16	2014-06-22	5	
2014-06-09	2014-06-15	5	
2014-06-02	2014-06-08	5	
2014-05-26	2014-06-01	4	Spring bank holiday
2014-05-19	2014-05-25	5	
2014-05-12	2014-05-18	5	
2014-05-05	2014-05-11	4	Early May bank holiday
2014-04-28	2014-05-04	5	
2014-04-21	2014-04-27	4	Easter Monday
2014-04-14	2014-04-20	4	Good Friday
2014-04-07	2014-04-13	5	
2014-03-31	2014-04-06	5	
2014-03-24	2014-03-30	5	
2014-03-17	2014-03-23	5	
